product_name,price,year_mileage,location
Toyota Camry,Rp 218.000.000,2015 - 110.000-115.000 km,Kebayoran LamaHari ini
Volkswagen Golf,Rp 240.000.000,2014 - 85.000-90.000 km,Pasar MingguHari ini
Daihatsu Gran max Pick-up,Rp 72.000.000,2018 - 105.000-110.000 km,CakungHari ini
Mercedes-Benz A200,Rp 550.000.000,2019 - 30.000-35.000 km,CilandakHari ini
Mitsubishi Xpander,Rp 205.000.000,2019 - 75.000-80.000 km,KemayoranHari ini
Toyota Kijang Innova,Rp 305.000.000,2016 - 140.000-145.000 km,Jakarta SelatanHari ini
Datsun Go+ Panca,Rp 78.000.000,2017 - 50.000-55.000 km,Pasar Baru4 hari yang lalu
Toyota Avanza,Rp 113.000.000,2013 - 75.000-80.000 km,Pasar Minggu09 Okt
Wuling Almaz,Rp 199.000.000,2019 - 50.000-55.000 km,Cilandak3 hari yang lalu
Toyota Kijang Innova,Rp 261.000.000,2016 - 25.000-30.000 km,Palmerah01 Des
Nissan Grand livina,Rp 67.000.000,2011 - 120.000-125.000 km,Pantai Indah Kapuk3 hari yang lalu
Toyota Kijang Innova,Rp 308.320.000,2017 - 95.000-100.000 km,Setia Budi06 Des
Kia Rio,Rp 108.000.000,2012 - 95.000-100.000 km,TebetHari ini
Honda Mobilio,Rp 150.500.000,2017 - 30.000-35.000 km,Cakung3 hari yang lalu
Daihatsu Ayla,Rp 95.000.000,2014 - 60.000-65.000 km,Kelapa GadingHari ini
Honda Mobilio,Rp 153.000.000,2017 - 45.000-50.000 km,Kebon JerukHari ini
BMW X5,Rp 525.000.000,2015 - 50.000-55.000 km,PademanganHari ini
Mercedes-Benz C-Class,Rp 147.000.000,2008 - 65.000-70.000 km,Pasar MingguHari ini
Nissan Serena,Rp 150.000.000,2014 - 125.000-130.000 km,Kelapa GadingHari ini
Nissan Grand livina,Rp 131.000.000,2017 - 105.000-110.000 km,Tanjung BaratHari ini
Nissan Grand livina,Rp 131.000.000,2017 - 105.000-110.000 km,CilincingHari ini
Nissan Grand livina,Rp 131.000.000,2017 - 105.000-110.000 km,JatinegaraHari ini
Nissan Grand livina,Rp 131.000.000,2017 - 105.000-110.000 km,Duren SawitHari ini
Nissan Grand livina,Rp 131.000.000,2017 - 105.000-110.000 km,CiracasHari ini
Nissan Grand livina,Rp 131.000.000,2017 - 105.000-110.000 km,Pasar MingguHari ini
Nissan Grand livina,Rp 131.000.000,2017 - 105.000-110.000 km,Kebayoran LamaHari ini
Honda Jazz,Rp 197.000.000,2017 - 50.000-55.000 km,Penjaringan5 hari yang lalu
Toyota Fortuner,Rp 320.000.000,2017 - 65.000-70.000 km,Grogol PetamburanHari ini
Honda Jazz,Rp 182.500.000,2018 - 65.000-70.000 km,Kebayoran Lama6 hari yang lalu
Suzuki Ignis,Rp 131.000.000,2019 - 50.000-55.000 km,Kebayoran Lama2 hari yang lalu
Mitsubishi Xpander,Rp 212.999.000,2019 - 25.000-30.000 km,Cempaka Putih12 Des
Mitsubishi Pajero,Rp 577.900.000,2023 - 0-5.000 km,Jagakarsa06 Des
Daihatsu Ayla,Rp 94.000.000,2020 - 45.000-50.000 km,Pademangan2 hari yang lalu
BMW 320i,Rp 300.000.000,2015 - 50.000-55.000 km,Jakarta Selatan27 Nov
Nissan Grand livina,Rp 131.000.000,2017 - 105.000-110.000 km,Cempaka PutihHari ini
Nissan Grand livina,Rp 131.000.000,2017 - 105.000-110.000 km,KalideresHari ini
Nissan Grand livina,Rp 131.000.000,2017 - 105.000-110.000 km,Grogol PetamburanHari ini
Nissan Grand livina,Rp 131.000.000,2017 - 105.000-110.000 km,CengkarengHari ini
Toyota Raize,Rp 226.000.000,2021 - 15.000-20.000 km,Tanjung BaratHari ini
Toyota Raize,Rp 226.000.000,2021 - 15.000-20.000 km,PekayonHari ini
Toyota Raize,Rp 226.000.000,2021 - 15.000-20.000 km,Pasar BaruHari ini
Toyota Raize,Rp 226.000.000,2021 - 15.000-20.000 km,Pantai Indah KapukHari ini
Toyota Raize,Rp 226.000.000,2021 - 15.000-20.000 km,KemangHari ini
Toyota Raize,Rp 226.000.000,2021 - 15.000-20.000 km,CakungHari ini
Toyota Raize,Rp 226.000.000,2021 - 15.000-20.000 km,PesanggrahanHari ini
Toyota Raize,Rp 226.000.000,2021 - 15.000-20.000 km,PancoranHari ini
Daihatsu Xenia,Rp 133.000.000,2017 - 35.000-40.000 km,Cakung09 Nov
Honda CR-V,Rp 365.000.000,2018 - 75.000-80.000 km,Makasar09 Des
Suzuki Ertiga,Rp 129.000.000,2016 - 25.000-30.000 km,Cempaka Putih12 Des
Honda Brio,Rp 128.000.000,2016 - 35.000-40.000 km,Pademangan10 Des
Nissan Grand livina,Rp 112.000.000,2018 - 120.000-125.000 km,Kebayoran BaruHari ini
Toyota Rush,Rp 190.000.000,2018 - 60.000-65.000 km,Jatinegara3 hari yang lalu
Honda BR-V,Rp 158.000.000,2017 - 50.000-55.000 km,PesanggrahanHari ini
Daihatsu Sigra,Rp 95.000.000,2018 - 30.000-35.000 km,Cibubur11 Des
Toyota Raize,Rp 226.000.000,2021 - 15.000-20.000 km,Kebayoran LamaHari ini
Toyota Raize,Rp 226.000.000,2021 - 15.000-20.000 km,Grogol PetamburanHari ini
Toyota Raize,Rp 226.000.000,2021 - 15.000-20.000 km,CengkarengHari ini
Nissan Juke,Rp 145.000.000,2013 - 30.000-35.000 km,Duren SawitHari ini
Audi A8 L,Rp 480.000.000,2011 - 80.000-85.000 km,Kebayoran LamaHari ini
Toyota Fortuner,Rp 525.000.000,2021 - 10.000-15.000 km,Jakarta SelatanHari ini
Daihatsu Ayla,Rp 79.000.000,2013 - 65.000-70.000 km,CiracasHari ini
Suzuki SX4,Rp 95.000.000,2010 - 125.000-130.000 km,Grogol PetamburanHari ini
Toyota Alphard,Rp 650.000.000,2017 - 40.000-45.000 km,PademanganHari ini
Honda CR-V,Rp 295.000.000,2018 - 70.000-75.000 km,Jakarta BaratHari ini
Mazda 2,Rp 102.000.000,2012 - 120.000-125.000 km,KembanganHari ini
Honda BR-V,Rp 233.000.000,2022 - 0-5.000 km,KemayoranHari ini
Honda HR-V,Rp 197.000.000,2018 - 100.000-105.000 km,Kemayoran18 Agu
Toyota Raize,Rp 192.000.000,2022 - 25.000-30.000 km,Jagakarsa11 Des
Wuling Cortez,Rp 141.000.000,2019 - 30.000-35.000 km,Kembangan05 Okt
Daihatsu Sigra,Rp 115.000.000,2019 - 30.000-35.000 km,Cilandak04 Des
Toyota Avanza,Rp 153.000.000,2019 - 60.000-65.000 km,Pasar Minggu13 Nov
Toyota Avanza,Rp 125.500.000,2017 - 115.000-120.000 km,Kembangan09 Nov
Toyota Vellfire,Rp 717.000.000,2016 - 65.000-70.000 km,Cilandak08 Des
Mitsubishi Xpander,Rp 196.000.000,2019 - 75.000-80.000 km,Duren Sawit07 Des
Honda CR-V,Rp 388.000.000,2017 - 70.000-75.000 km,CakungHari ini
Toyota Kijang Innova,Rp 259.000.000,2020 - 50.000-55.000 km,CengkarengHari ini
Nissan Terra,Rp 339.000.000,2018 - 50.000-55.000 km,TebetHari ini
Toyota Kijang Innova,Rp 115.000.000,2008 - 115.000-120.000 km,Kebon JerukHari ini
Toyota Vellfire,Rp 235.000.000,2009 - 75.000-80.000 km,CilandakHari ini
Suzuki Ignis,Rp 129.500.000,2020 - 10.000-15.000 km,JatinegaraHari ini
Honda Freed,Rp 165.000.000,2013 - 135.000-140.000 km,Sawah BesarHari ini
Toyota Kijang Innova,Rp 190.000.000,2018 - 75.000-80.000 km,CakungHari ini
Toyota Fortuner,Rp 369.000.000,2018 - 135.000-140.000 km,Jakarta BaratHari ini
Jeep Cherokee,Rp 395.000.000,2015 - 45.000-50.000 km,KemayoranHari ini
Toyota Sienta,Rp 179.000.000,2017 - 75.000-80.000 km,CilandakHari ini
Toyota Fortuner,Rp 264.000.000,2014 - 90.000-95.000 km,PenjaringanHari ini
Daihatsu Sigra,Rp 102.000.000,2017 - 60.000-65.000 km,Kalideres12 Apr
Suzuki Ertiga,Rp 158.000.000,2019 - 55.000-60.000 km,Makasar13 Des
Wuling Almaz,Rp 179.000.000,2019 - 50.000-55.000 km,Cibubur11 Des
Toyota Avanza,Rp 169.000.000,2020 - 60.000-65.000 km,Pasar Minggu07 Des
Suzuki Ignis,Rp 128.000.000,2018 - 90.000-95.000 km,Pesanggrahan6 hari yang lalu
Toyota Vios,Rp 125.500.000,2014 - 125.000-130.000 km,Kemayoran27 Nov
Toyota Alphard,Rp 725.000.000,2017 - 30.000-35.000 km,Pademangan16 Jul
Mitsubishi Xpander,Rp 199.000.000,2018 - 45.000-50.000 km,CipayungHari ini
Toyota Alphard,Rp 719.000.000,2017 - 55.000-60.000 km,CibuburHari ini
Mercedes-Benz CLA200,Rp 585.000.000,2018 - 5.000-10.000 km,CibuburHari ini
BMW 730Li,Rp 700.000.000,2018 - 55.000-60.000 km,CilandakHari ini
Toyota Kijang Innova,Rp 277.000.000,2018 - 75.000-80.000 km,CibuburHari ini
Toyota Kijang Innova,Rp 277.000.000,2018 - 75.000-80.000 km,Tanjung DurenHari ini
Toyota Kijang Innova,Rp 277.000.000,2018 - 75.000-80.000 km,Kelapa GadingHari ini
Toyota Kijang Innova,Rp 277.000.000,2018 - 75.000-80.000 km,CakungHari ini
Toyota Kijang Innova,Rp 277.000.000,2018 - 75.000-80.000 km,Pasar MingguHari ini
Toyota Kijang Innova,Rp 277.000.000,2018 - 75.000-80.000 km,Kebayoran LamaHari ini
Toyota Kijang Innova,Rp 277.000.000,2018 - 75.000-80.000 km,JagakarsaHari ini
Toyota Kijang Innova,Rp 277.000.000,2018 - 75.000-80.000 km,KemayoranHari ini
Toyota Kijang Innova,Rp 277.000.000,2018 - 75.000-80.000 km,Grogol PetamburanHari ini
Suzuki SX4,Rp 178.000.000,2018 - 60.000-65.000 km,Pulo Gadung03 Des
Nissan March,Rp 107.000.000,2015 - 110.000-115.000 km,Kemayoran06 Nov
Suzuki Ertiga,Rp 184.000.000,2019 - 50.000-55.000 km,Cakung5 hari yang lalu
Suzuki Ignis,Rp 128.000.000,2018 - 50.000-55.000 km,Pulo Gadung20 Sep
Toyota Calya,Rp 136.000.000,2020 - 30.000-35.000 km,Jagakarsa15 Sep
Toyota Alphard,Rp 615.000.000,2017 - 35.000-40.000 km,KemayoranKemarin
Toyota Alphard,Rp 359.000.000,2013 - 25.000-30.000 km,Jakarta SelatanKemarin
Wuling Air EV,Rp 215.000.000,2023 - 0-5.000 km,Pademangan13 Des
Toyota Kijang Innova,Rp 277.000.000,2018 - 75.000-80.000 km,CengkarengHari ini
Suzuki Ignis,Rp 143.000.000,2021 - 20.000-25.000 km,CilangkapHari ini
Suzuki Ignis,Rp 143.000.000,2021 - 20.000-25.000 km,PekayonHari ini
Suzuki Ignis,Rp 143.000.000,2021 - 20.000-25.000 km,JatinegaraHari ini
Suzuki Ignis,Rp 143.000.000,2021 - 20.000-25.000 km,Duren SawitHari ini
Suzuki Ignis,Rp 143.000.000,2021 - 20.000-25.000 km,CiracasHari ini
Suzuki Ignis,Rp 143.000.000,2021 - 20.000-25.000 km,Pasar MingguHari ini
Suzuki Ignis,Rp 143.000.000,2021 - 20.000-25.000 km,Kebayoran LamaHari ini
Suzuki Ignis,Rp 143.000.000,2021 - 20.000-25.000 km,JagakarsaHari ini
Suzuki Ignis,Rp 143.000.000,2021 - 20.000-25.000 km,PalmerahHari ini
Suzuki Ignis,Rp 143.000.000,2021 - 20.000-25.000 km,Grogol PetamburanHari ini
Suzuki Ignis,Rp 143.000.000,2021 - 20.000-25.000 km,CengkarengHari ini
